index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,106,1785879557.858964,0.15795541694387794,12.28831358300522,1578,256,ok,,0.33;0.37;0.15;20.74;21.27;21.21;20.82;24.42;22.68;28.69;23.02;65.54;0.07;7.63;23.24;24.71;33.59;10.84;18.10;28.17;14.12;22.91;92.55;0.76;0.02;0.02;14.54;36.09;10.22;20.51;32.66;20.61;39.28;36.97;20.01;22.09;37.12;23.26;26.46;21.61;25.20;31.64;15.45;89.26;2.41;2.60;27.97;10.54;37.14;13.91;21.64;50.00;29.08;26.77;24.45;24.04;24.77;25.06;24.68;40.13;42.05;104.80;0.02;1.92;20.62;40.92;29.60;8.97;25.21;67.25;18.21;40.90;15.93;25.43;26.11;26.16;24.93;28.47;119.64;3.32;3.88;0.02;6.91;24.03;28.89;27.41;48.62;30.49;25.02;27.57;46.69;36.66;27.58;51.41;26.92;114.02;0.03;0.03;26.28;33.78;18.08;27.29;27.88;26.01;25.97;53.60;37.08;24.10;55.32;29.07;28.40;103.05;6.90;0.03;0.03;25.29;33.12;26.10;54.48;149.40;5.59;0.00;0.00;0.00;17.48;68.85;137.90;2.51;4.41;27.55;33.64;22.20;73.43;69.12;30.72;32.78;42.83;20.60;167.44;4.99;0.03;44.35;5.30;18.26;30.79;39.80;31.34;35.72;22.00;27.68;36.01;87.30;33.80;108.11;7.75;0.03;14.89;40.21;29.15;29.27;32.41;36.47;29.14;30.95;33.83;28.73;35.11;37.92;26.24;106.54;10.91;0.03;20.68;32.58;34.78;77.41;36.38;31.86;33.14;32.34;37.14;33.38;32.09;114.33;9.15;34.49;28.61;32.35;39.05;30.58;32.72;32.01;34.64;31.49;94.74;128.65;0.04;8.88;0.03;25.88;37.77;41.77;80.01;106.89;36.20;182.32;8.14;45.35;47.80;11.05;31.59;95.57;61.56;57.72;39.75;126.31;85.60;52.25;176.36;45.12;170.88;172.55;174.09;226.62;170.66;177.06;120.37;0.04;52.18;67.58;53.16;194.69;197.44;200.05;283.01;10.27;54.05;55.80;67.93;50.19;61.79;57.92;223.86;41.00;243.42;63.58;212.50;62.39;61.79;69.11;238.45;190.26;333.55;14.87;53.31
1,80,1785879557.8681788,0.14922049990855157,12.334886790951714,1578,256,ok,,0.31;0.20;20.78;20.90;21.56;20.79;24.37;22.78;28.88;23.93;63.96;2.01;6.07;23.06;24.92;33.58;10.60;18.12;28.22;14.24;22.92;92.54;0.80;0.02;0.02;14.50;35.01;11.09;20.58;33.08;20.51;38.84;36.91;20.47;24.05;35.01;23.17;26.09;21.77;25.60;31.12;16.00;89.01;2.62;2.44;26.40;11.96;37.21;13.90;21.67;49.93;29.14;27.14;24.04;24.04;26.93;22.85;24.83;40.21;42.05;104.87;0.02;1.87;20.44;40.97;29.48;8.64;25.59;63.64;21.90;40.87;15.95;25.24;26.83;25.63;25.22;28.13;119.81;3.13;3.78;0.02;7.19;29.40;23.35;26.76;49.72;30.30;27.89;24.78;49.78;33.82;28.05;52.11;25.77;114.12;0.03;0.02;26.24;32.81;21.26;24.46;28.10;25.61;27.38;52.59;38.13;24.09;54.90;28.20;28.92;102.92;7.03;0.03;0.03;25.56;33.16;25.49;54.44;149.64;5.45;0.00;0.00;0.00;18.16;68.13;138.65;2.74;3.88;27.36;33.40;24.15;72.49;73.22;25.29;34.00;42.02;22.25;164.77;6.45;0.03;43.58;6.46;17.34;30.95;44.48;26.30;32.63;26.58;38.77;23.72;89.00;32.39;108.39;7.98;0.03;14.17;40.35;28.73;31.77;30.31;37.91;29.63;29.31;38.69;26.78;32.66;37.75;27.33;105.26;10.24;0.03;21.55;26.88;34.96;82.42;37.45;31.01;33.22;37.31;32.62;32.38;32.33;116.03;6.88;36.34;26.62;33.82;40.05;26.36;35.59;33.14;33.38;31.70;94.58;128.47;0.03;8.78;0.03;25.26;38.58;40.56;83.57;103.85;36.03;180.95;8.39;40.61;48.03;15.19;33.14;95.74;61.64;57.75;40.07;127.35;84.95;51.55;176.30;45.17;171.16;173.81;173.01;218.60;175.53;179.45;120.15;0.03;57.24;63.64;53.52;193.74;200.40;196.68;282.30;11.57;53.48;56.00;65.90;52.13;64.25;55.09;225.40;42.83;243.09;62.53;213.37;62.84;63.09;68.33;236.11;191.34;331.90;13.90;54.22;55.42
2,11,1785879557.986256,0.11164566595107317,24.719905375037342,1578,256,ok,,27.29;10.12;17.29;20.16;29.06;63.88;2.00;0.08;16.48;16.20;21.55;33.17;14.77;15.13;27.40;13.91;115.06;1.06;0.03;1.35;12.45;36.60;5.75;21.26;31.25;22.99;18.13;29.89;21.70;27.39;17.11;33.60;19.87;22.86;20.36;22.41;23.07;30.44;15.04;89.21;1.57;2.36;0.78;12.62;18.67;37.79;9.12;21.21;30.60;34.09;22.85;22.48;24.81;28.52;13.26;28.19;30.61;40.70;20.77;126.58;3.70;2.20;3.47;20.69;39.16;30.40;14.26;33.77;50.61;47.05;42.73;47.37;48.17;26.91;116.80;1.99;4.10;0.02;4.83;18.65;34.54;15.32;24.76;24.84;24.33;30.55;30.10;14.86;60.97;44.89;29.12;24.42;23.86;111.53;1.70;5.41;0.03;15.86;30.25;17.27;28.44;52.14;25.63;27.92;31.91;21.68;30.70;49.31;26.96;56.92;101.94;0.03;0.03;9.52;21.57;32.65;49.05;179.51;5.32;0.00;0.00;15.30;12.53;20.36;79.04;101.80;35.40;33.79;26.91;71.92;34.58;37.38;55.80;73.91;155.10;50.00;0.03;35.75;23.95;41.49;15.84;40.50;67.25;73.62;171.87;6.92;0.03;6.35;27.44;29.95;32.72;76.72;96.54;20.49;88.14;143.31;0.03;20.20;35.88;36.32;19.05;81.39;120.02;31.80;35.97;28.55;114.61;12.75;28.18;30.59;86.58;94.55;97.41;28.94;150.31;64.53;24.90;130.75;116.78;181.98;98.38;109.41;139.31;179.35;16.82;46.70;39.20;40.14;52.30;135.94;189.79;163.25;176.59;237.92;102.96;171.16;212.63;183.42;49.47;62.84;213.54;139.35;190.80;196.93;185.88;188.05;221.32;176.77;271.57;125.56;193.22;207.65;226.65;299.34;194.17;64.27;265.15;203.20;319.14;216.04;124.42;227.72;268.78;314.65;83.91;85.44;98.09;269.77;405.64;237.71;296.97;290.86;368.72;381.49;308.06;359.36;382.66;322.18;321.82;88.90;366.50;478.79;280.95;399.97;405.42;473.17;528.79;370.65;405.84;416.87;452.91;456.34;530.91;519.78;34.97
3,18,1785879558.076895,0.10086420783773065,12.685544332955033,1578,256,ok,,19.97;68.69;0.04;7.62;22.98;24.82;33.58;10.69;18.98;26.95;14.50;23.16;92.30;0.74;0.02;0.02;14.70;36.12;10.18;20.39;33.08;20.52;38.86;36.98;20.60;23.93;34.78;23.53;26.11;21.64;24.95;32.41;15.25;89.20;2.42;2.49;28.11;10.30;37.43;14.01;21.55;51.56;27.67;26.84;24.40;26.04;24.87;22.80;32.35;32.42;140.79;5.91;0.02;1.90;20.88;41.12;29.59;8.14;25.97;64.96;20.30;40.41;15.95;25.46;26.20;27.33;25.23;27.41;119.06;3.45;3.74;0.03;7.02;29.60;24.09;26.30;50.38;29.93;29.07;23.42;49.73;32.97;27.92;51.54;27.05;113.05;0.03;0.03;27.35;32.67;21.14;24.69;28.49;26.27;25.05;53.99;37.76;22.61;56.75;28.65;27.23;104.25;7.39;0.03;0.03;25.60;32.21;26.28;58.79;139.66;8.41;0.01;0.01;0.00;20.69;67.23;139.12;2.83;3.89;28.27;33.22;21.63;73.66;72.62;25.07;35.13;41.14;21.76;165.71;7.34;0.03;43.28;6.48;18.84;38.47;40.83;22.41;32.75;25.25;38.09;24.06;90.82;30.67;108.38;7.96;0.03;14.33;40.15;29.10;30.66;31.02;37.18;29.78;29.91;37.12;26.83;33.94;37.39;27.35;105.51;10.80;0.03;22.13;31.98;33.17;78.05;37.07;34.23;30.66;33.57;37.68;31.27;33.12;114.43;6.17;37.44;29.02;31.65;39.10;28.89;34.00;31.88;33.98;31.94;94.55;126.63;6.16;0.03;6.63;25.72;35.43;42.64;81.88;105.22;36.22;181.64;7.61;45.61;49.31;9.20;32.30;95.66;61.34;61.22;36.60;126.28;85.54;52.03;177.59;44.66;170.33;173.48;168.74;231.08;171.24;176.92;121.79;0.03;52.54;61.43;54.49;200.12;194.66;201.59;281.36;10.48;58.39;51.57;74.29;46.13;61.90;55.05;220.15;47.93;244.91;59.79;214.76;60.37;64.20;67.67;236.28;193.30;332.91;14.76;53.18;57.57;61.71;57.11;59.27;62.10;157.60;12.20;18.62;59.08;67.61
4,0,1785879558.096014,0.10616154200397432,25.622213874943554,1578,256,ok,,64.14;0.04;1.81;11.20;20.91;42.46;12.27;14.87;20.81;21.53;13.80;115.22;1.19;0.03;1.35;11.57;37.50;5.64;21.36;31.25;22.98;18.10;30.04;21.41;27.57;17.12;33.56;20.84;22.52;19.73;22.84;22.84;30.69;15.06;88.87;1.94;2.13;1.28;12.00;22.91;33.26;9.60;20.86;30.74;34.45;23.50;21.47;24.98;27.67;16.88;25.32;32.79;38.67;20.89;127.95;1.83;3.08;3.09;28.10;30.79;30.14;14.25;35.34;47.70;45.89;43.64;47.64;52.22;25.11;116.89;2.47;0.02;0.05;9.03;18.91;32.75;15.40;24.72;25.45;24.37;30.03;31.03;14.73;62.13;43.82;28.09;25.98;22.74;111.89;1.65;5.45;0.03;15.83;28.06;22.85;25.05;53.79;26.66;26.14;32.03;21.49;30.06;49.79;26.33;57.58;101.64;0.03;0.03;9.87;22.02;28.93;51.02;178.83;5.59;0.00;0.00;13.18;12.50;25.17;77.28;101.46;35.53;32.62;27.60;72.83;33.70;34.90;62.13;68.02;156.47;50.89;0.03;27.71;26.50;41.59;26.60;32.25;68.68;79.54;164.94;9.29;0.03;7.24;28.05;29.08;32.03;76.49;94.59;24.46;87.59;141.55;7.94;12.23;32.14;35.45;24.43;80.93;119.52;31.90;34.40;30.10;113.42;10.52;32.35;26.90;88.67;96.04;96.46;31.37;148.94;63.87;24.89;129.92;118.41;180.94;92.60;115.07;133.65;183.35;14.88;51.93;34.02;40.74;53.88;129.04;196.56;163.69;176.99;231.08;105.08;171.19;212.52;177.49;58.30;61.95;213.94;138.77;185.33;203.98;177.32;194.77;209.86;185.38;274.72;125.49;194.55;211.59;226.67;299.33;192.73;65.54;265.17;202.20;320.69;214.25;107.26;242.96;266.72;316.45;86.35;83.37;107.10;260.70;406.55;235.89;300.29;290.59;364.65;382.15;308.33;347.17;396.43;306.47;331.10;103.06;364.48;471.81;278.24;394.19;408.99;386.54;621.34;365.82;407.85;417.38;451.53;457.70;531.98;517.04;35.69;493.17;74.59;106.67;125.98;210.26
5,8,1785879558.13917,0.127810874953866,12.813103625085205,1578,256,ok,,6.76;23.04;24.87;33.72;10.64;18.45;27.71;14.35;22.93;92.52;0.71;0.03;0.03;14.65;35.56;10.76;20.32;33.16;20.42;38.91;36.86;20.82;23.93;35.04;23.36;25.83;21.82;25.31;32.29;15.14;89.09;2.50;2.43;28.03;10.37;37.43;13.97;21.33;49.93;29.15;27.21;24.02;24.04;27.28;22.76;32.39;32.53;140.90;5.99;0.02;1.78;20.41;41.54;30.23;7.27;25.77;64.62;20.99;40.42;16.04;25.49;26.12;27.69;24.75;27.23;119.23;2.94;3.34;0.02;8.08;29.83;23.70;26.96;49.59;30.07;27.29;25.35;49.70;33.36;28.55;50.43;26.49;113.85;0.03;0.03;26.30;33.43;15.70;30.47;28.87;24.75;27.26;52.46;36.71;23.56;54.79;28.99;29.62;102.88;6.89;0.03;0.03;26.61;33.77;25.52;58.35;140.59;7.91;0.01;0.00;0.00;20.45;67.59;137.50;2.87;4.40;29.18;33.05;21.58;72.83;69.55;28.67;32.94;43.87;21.11;165.56;6.86;0.03;44.37;6.10;18.59;30.30;46.10;25.60;31.74;24.92;27.72;35.19;88.41;33.04;108.57;7.77;0.03;16.33;39.26;28.90;28.21;32.33;33.53;32.92;30.97;40.67;23.82;32.45;38.57;26.76;105.57;11.89;0.03;21.60;26.49;37.27;78.96;37.75;34.05;30.65;32.49;36.58;34.21;33.62;114.40;5.62;36.03;31.33;29.98;38.46;28.66;34.80;33.85;33.28;30.11;96.18;125.81;6.02;0.03;6.81;25.96;36.09;41.12;80.44;108.15;36.30;179.64;8.17;46.30;42.73;15.53;32.64;100.39;57.51;57.28;39.87;124.90;82.32;57.38;177.08;44.11;170.55;177.10;159.98;228.83;177.87;177.53;120.57;0.04;52.92;64.12;52.62;199.45;199.69;196.17;282.49;9.67;59.27;52.00;67.76;50.64;61.10;57.46;220.22;45.57;244.42;63.21;211.78;62.81;62.59;67.35;236.93;192.68;333.44;15.05;50.26;57.85;63.31;55.62;62.96;60.59;65.97;101.13;18.66;62.76;64.93;71.86;50.21;69.83
6,0,1785879558.176887,0.10692991595715284,26.214349291054532,1578,256,ok,,16.58;21.56;33.16;15.00;20.51;21.63;14.18;114.87;0.99;1.24;0.03;12.07;37.15;5.77;21.25;31.29;22.98;18.07;30.00;21.22;27.77;17.08;33.49;20.86;22.11;20.28;22.41;23.10;30.48;14.89;89.08;2.00;2.24;0.85;12.48;22.98;33.19;9.35;21.09;30.57;34.54;22.63;21.93;25.31;27.83;14.02;28.21;30.85;40.10;21.49;126.19;3.22;3.05;3.31;20.28;38.88;29.60;14.65;34.55;48.47;45.97;43.79;47.50;50.48;26.74;116.91;2.43;0.02;0.02;8.22;19.55;32.98;15.73;24.57;25.90;23.70;30.38;30.56;14.82;61.38;45.94;26.52;26.23;22.96;112.10;2.44;0.03;0.03;20.42;27.88;20.18;27.44;54.52;24.86;27.24;31.94;21.29;30.23;50.40;27.18;57.35;101.49;0.04;0.03;9.16;21.83;29.63;48.74;180.68;5.45;0.00;0.00;13.85;11.63;25.07;77.70;101.05;35.33;32.68;30.02;70.64;33.78;36.80;60.09;72.03;152.87;50.30;0.03;28.04;62.04;6.32;25.99;32.40;68.43;79.32;165.58;9.42;0.03;6.69;28.45;29.32;34.16;74.10;94.96;25.87;85.78;141.73;7.95;14.93;31.57;38.15;19.90;80.47;119.57;31.90;38.81;28.40;113.82;17.11;29.84;19.50;91.05;93.77;98.05;31.85;146.63;64.10;24.95;134.62;113.16;181.68;95.40;110.95;140.26;177.69;15.05;53.72;36.63;39.77;51.78;131.90;193.43;165.13;176.72;233.12;105.64;167.60;212.64;183.95;56.77;58.58;213.76;138.03;186.23;202.94;180.42;196.07;205.33;186.33;278.60;122.95;190.62;211.95;227.41;298.61;193.57;64.25;268.43;199.02;320.68;315.42;13.98;234.74;270.23;315.68;80.22;88.95;104.06;264.43;404.61;238.92;296.95;292.30;366.84;379.14;307.65;347.27;396.76;308.36;336.42;91.35;367.69;475.82;276.26;401.15;406.55;385.22;620.11;363.71;408.55;418.96;453.23;453.97;533.94;517.24;37.92;488.65;75.54;107.22;123.12;209.89;340.28;185.00;46.33;109.09
7,2,1785879558.2434602,0.12687304196879268,27.05789566715248,1578,256,ok,,20.23;21.82;13.90;114.84;1.21;1.26;0.02;12.73;36.48;5.79;21.02;31.25;23.01;18.27;30.11;21.52;27.54;16.82;33.77;20.76;22.61;20.01;22.59;23.17;30.25;15.25;88.78;2.06;2.30;0.88;12.18;18.42;37.92;9.32;21.09;30.26;34.33;23.80;21.59;25.17;27.05;17.34;25.32;30.36;40.26;21.72;126.26;4.19;1.58;3.94;28.12;32.12;29.79;14.34;34.10;51.32;45.90;42.92;47.55;46.37;27.53;115.70;2.98;3.81;0.02;1.59;22.47;34.98;15.55;25.79;23.34;23.88;34.11;27.80;14.04;48.24;57.06;24.00;30.63;22.25;110.54;3.02;4.65;0.03;16.18;30.14;17.81;24.32;52.55;29.27;27.59;32.30;21.07;30.49;47.98;28.69;58.23;100.21;6.68;0.03;3.85;20.62;35.23;42.40;181.37;7.79;0.00;0.00;16.91;13.08;19.40;76.42;102.73;33.08;38.24;25.41;67.64;35.48;35.04;60.75;70.45;157.75;50.44;5.62;33.15;52.68;12.88;12.16;26.91;84.35;70.45;82.33;96.47;0.04;7.60;24.64;30.17;32.96;73.34;104.86;18.07;82.52;143.93;10.48;13.28;41.00;34.82;11.66;86.16;118.31;32.77;35.10;28.81;112.99;9.68;27.72;30.86;86.55;96.74;100.33;29.64;148.97;65.65;18.25;139.55;115.15;179.93;104.35;102.60;138.73;185.50;17.09;48.89;31.71;42.51;55.41;136.42;183.97;166.75;171.43;248.48;93.05;169.20;216.13;182.46;57.54;59.86;208.26;140.23;186.28;202.48;179.82;195.28;223.38;170.24;279.51;119.30;191.15;211.43;224.96;301.92;190.06;64.51;267.91;201.07;322.10;217.35;127.03;230.15;259.30;317.95;86.40;88.58;99.24;263.41;407.74;235.98;297.22;293.16;362.84;380.84;314.17;347.38;387.09;324.28;322.84;93.74;366.86;474.42;284.47;400.06;401.36;383.09;620.21;365.10;408.73;417.44;450.23;458.74;530.88;518.30;36.74;484.39;83.44;107.17;123.16;212.40;337.55;185.25;40.26;113.05;462.80;120.48;102.53;219.21
8,21,1785879558.3416262,0.19989325013011694,27.666592459194362,1578,256,ok,,1.04;0.02;1.33;12.35;36.77;5.55;20.95;31.24;22.96;18.15;30.09;21.34;27.72;17.01;34.00;20.42;22.29;20.53;22.66;23.09;30.47;14.95;88.87;1.98;1.70;1.07;12.81;23.53;32.67;9.13;20.94;30.97;34.04;23.06;22.32;25.10;27.17;17.68;25.16;30.28;38.61;22.78;126.38;3.64;2.42;2.89;20.92;40.27;29.74;14.31;33.26;52.11;45.89;43.77;46.87;47.81;26.86;115.42;3.50;0.03;0.02;8.45;19.41;34.08;15.80;25.55;24.40;25.25;30.11;29.57;16.48;58.76;43.84;29.36;25.36;22.77;111.00;2.62;5.29;0.04;17.57;28.80;17.70;28.23;51.90;28.01;26.33;31.81;21.32;29.94;49.63;27.74;57.90;100.00;0.03;0.03;11.77;20.49;32.13;48.59;178.32;5.09;0.01;0.00;17.01;14.42;18.86;82.78;97.84;34.93;33.69;25.91;72.91;34.40;38.11;58.85;71.50;154.09;50.63;0.02;35.84;23.94;42.55;20.81;33.81;67.95;77.45;167.86;6.89;0.03;6.96;27.54;30.86;31.87;75.65;96.66;20.71;88.99;142.53;0.03;21.31;37.83;34.82;17.47;81.26;119.12;32.01;36.61;28.63;114.32;7.74;33.83;30.08;83.90;98.44;96.17;30.37;149.15;62.13;27.61;130.03;116.82;181.89;102.14;106.48;142.59;176.29;16.35;47.40;34.26;44.49;53.51;135.78;188.18;164.20;172.90;248.15;99.56;170.41;208.05;179.40;63.01;58.45;207.31;143.86;185.18;201.10;185.72;187.62;412.47;0.06;257.81;122.83;192.18;209.49;227.85;298.72;193.30;78.41;254.56;200.94;320.07;214.77;131.91;223.80;264.02;316.13;84.22;89.43;95.48;266.62;410.12;235.31;296.59;291.22;364.24;383.73;310.91;346.31;388.01;324.24;327.53;86.30;368.02;476.80;283.03;402.52;402.70;382.60;617.77;370.58;403.60;423.90;442.83;464.13;529.15;522.02;29.57;486.55;85.41;106.66;118.81;212.69;344.43;181.84;43.11;111.40;461.34;117.36;112.59;207.03;362.08;157.45;73.56;123.22
9,9,1785879558.347838,0.19520629197359085,28.112317374907434,1578,256,ok,,0.14;0.02;12.37;38.01;4.88;21.36;31.21;22.82;17.91;30.14;21.20;27.98;17.04;33.74;19.92;22.78;20.65;22.58;22.84;30.77;14.83;88.80;2.15;1.91;0.85;12.80;23.72;32.25;9.55;20.97;30.86;33.89;22.98;22.52;24.86;27.60;17.50;25.19;30.06;38.92;22.49;126.70;3.34;2.47;3.23;20.72;40.21;29.80;14.17;33.38;50.09;45.91;46.32;46.27;47.98;26.83;115.91;2.25;3.90;0.02;5.40;17.99;35.43;15.73;25.55;24.64;25.01;28.62;31.30;14.34;60.84;43.75;29.83;23.69;23.83;111.05;2.72;5.33;0.03;17.44;29.11;17.02;28.44;53.94;24.14;26.98;32.38;21.40;31.09;49.17;27.37;57.22;101.00;0.03;0.03;11.76;20.03;33.27;48.28;179.25;5.39;0.00;0.00;13.85;16.27;19.48;79.47;100.20;35.50;33.09;28.38;70.76;37.24;35.46;53.89;75.36;155.04;50.30;0.03;36.12;17.56;48.47;14.59;39.12;69.11;73.52;170.97;7.48;0.03;6.32;27.81;30.34;31.95;77.12;95.75;20.75;89.42;142.46;0.03;20.86;30.87;37.11;22.91;81.27;119.53;31.80;36.45;27.99;115.10;16.64;24.23;31.55;83.66;97.81;96.30;30.06;148.84;64.09;25.29;131.81;117.84;179.17;94.40;114.70;132.99;185.56;14.56;45.23;39.66;40.91;51.85;129.26;195.53;157.05;183.90;234.55;102.36;177.69;204.51;179.27;61.61;66.12;205.01;134.73;188.56;205.84;177.10;192.11;213.36;180.59;279.77;119.82;202.87;206.24;227.87;298.64;192.98;65.50;268.11;199.89;319.48;214.95;114.17;242.23;263.36;315.49;80.33;88.41;99.42;267.60;409.39;236.34;296.37;290.39;364.95;382.04;309.38;347.09;395.96;303.62;333.61;94.69;365.97;480.74;276.07;403.10;396.59;390.19;621.27;367.52;406.18;419.12;444.90;466.18;527.50;520.51;32.49;492.77;75.38;110.03;114.24;216.31;339.22;186.48;42.66;113.05;460.32;117.13;104.29;117.02;456.96;161.61;71.75;134.25;447.49
