index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,13,1785846953.1150022,0.08481250004842877,2.251095457933843,1578,64,ok,,24.05;21.07;28.54;25.27;38.03;18.36;23.72;28.67;26.83;10.44;35.95;31.05;27.40;36.80;60.24;21.90;35.67;42.02;27.58;25.20;42.19;26.62;25.47;25.60;25.14;41.29;8.78;44.46;43.89;34.20;19.49;44.14;30.40;25.94;26.41;32.48;23.40;25.61;20.31;29.72;25.62;27.03;44.04;66.49;57.34;27.46;60.33;58.33;63.88;27.71;37.85;39.53;45.61;77.04;33.68;31.87;29.06;31.67;71.74;31.95;30.94;33.81;28.58
1,1,1785846953.143369,0.08194054197520018,2.2959881669376045,1578,64,ok,,20.06;28.02;25.08;38.55;17.94;24.04;28.95;25.91;11.10;35.99;31.21;26.88;36.68;59.62;22.51;35.37;40.96;28.90;25.62;39.93;29.36;24.34;26.22;25.34;40.84;9.13;42.83;45.18;34.15;19.18;43.31;30.94;24.72;25.74;28.75;22.65;33.62;18.90;30.58;21.59;30.27;44.37;66.87;57.20;28.71;59.72;58.03;63.71;27.70;39.19;43.04;41.20;76.23;35.56;30.08;29.17;31.33;71.94;31.85;32.41;35.12;27.43;71.30
2,13,1785846953.1852312,0.08979775011539459,2.432892082957551,1578,64,ok,,23.60;38.71;17.92;23.35;29.44;26.12;10.48;37.72;29.61;23.12;43.83;56.25;22.43;36.26;42.61;26.20;26.28;41.93;28.41;24.50;25.84;25.07;40.91;9.57;45.10;43.71;34.07;18.83;43.06;32.04;29.12;22.05;32.34;23.76;25.15;20.29;29.62;23.08;37.89;38.72;68.52;57.68;24.10;59.46;59.64;64.50;27.42;35.82;38.32;46.47;82.02;29.37;40.29;20.37;33.35;70.36;32.58;30.09;35.38;27.21;73.65;79.82;97.13
3,121,1785846953.2191129,0.12381029198877513,2.4681081247981638,1578,64,ok,,12.41;23.84;28.97;26.12;10.92;37.27;29.64;25.52;42.19;55.47;22.43;36.26;42.67;26.23;26.59;42.25;27.77;24.50;25.86;25.17;40.93;9.44;45.15;44.30;33.49;19.23;45.14;29.93;28.60;22.11;32.26;23.80;25.68;21.21;33.74;17.59;37.88;38.62;68.60;58.04;23.81;58.97;59.72;64.61;28.36;36.90;42.83;42.35;79.81;32.67;36.92;21.61;32.30;68.99;33.77;31.33;34.42;28.10;72.68;79.80;97.19;42.00;26.68
4,26,1785846953.256657,0.08081474993377924,2.5723953330889344,1578,64,ok,,32.42;48.42;33.49;47.91;16.49;35.28;41.90;42.03;23.06;34.26;30.37;33.32;34.54;30.57;38.10;27.39;31.36;39.30;25.54;35.37;31.28;30.77;34.61;30.52;34.34;32.61;29.83;55.20;38.77;52.34;47.17;50.92;38.70;34.40;36.13;53.72;40.95;33.97;38.16;37.03;37.56;46.18;41.87;24.41;36.35;37.70;37.85;35.37;38.36;37.38;41.23;37.89;34.35;63.89;38.62;45.98;56.53;71.22;38.34;69.76;44.70;72.43;39.31
5,16,1785846953.289964,0.12967208307236433,2.6199262079317123,1578,64,ok,,32.37;47.46;16.81;35.33;41.92;40.15;25.07;33.82;30.80;33.36;34.49;30.59;38.00;27.49;31.44;39.20;26.04;34.83;31.37;31.52;33.74;30.95;34.06;32.51;29.90;54.63;36.85;50.48;48.35;53.72;38.17;35.19;35.67;52.87;41.49;33.94;38.49;36.89;37.25;45.48;37.24;29.77;37.12;38.23;36.89;35.81;37.77;37.11;41.98;37.11;34.80;64.11;37.50;47.17;56.33;72.03;37.43;69.73;44.18;72.09;41.79;39.65;40.29
6,0,1785846953.3572428,0.12474045809358358,2.6964474581182003,1578,64,ok,,29.44;26.05;38.61;59.02;22.69;35.37;41.39;28.63;26.62;40.70;28.73;24.02;25.78;25.46;41.51;8.16;46.23;42.44;35.13;19.39;45.11;29.31;24.91;27.16;32.15;23.14;27.23;20.05;30.49;20.98;28.59;48.67;64.02;55.26;27.61;60.84;56.77;64.80;27.20;42.05;42.32;37.51;78.52;33.20;30.97;30.25;31.44;72.18;34.38;27.46;38.63;25.09;72.65;77.31;100.13;45.04;23.72;79.35;32.62;66.64;83.37;30.65;75.79
7,7,1785846953.376132,0.13719441602006555,2.720964875072241,1578,64,ok,,26.68;38.78;57.63;21.85;35.77;41.90;27.85;26.16;40.63;28.98;24.34;25.62;25.78;40.76;9.26;45.27;43.30;34.51;19.09;45.45;29.56;24.12;26.47;32.65;22.99;27.32;19.75;29.16;24.50;27.67;47.64;67.50;58.16;24.38;59.92;60.09;64.29;27.19;35.95;43.90;42.05;79.66;32.48;38.70;20.03;32.57;68.48;34.27;31.20;34.61;28.13;72.51;80.07;98.48;39.30;28.75;75.12;37.32;66.18;84.54;33.10;74.32;37.53
8,0,1785846953.439602,0.13957266719080508,2.716698917094618,1578,64,ok,,54.58;23.77;36.03;42.00;26.17;27.86;39.69;29.68;24.20;25.71;25.44;41.47;8.45;44.47;43.74;35.40;19.16;45.22;27.86;26.39;23.85;34.55;23.16;27.13;19.13;32.31;20.07;30.25;44.66;68.84;58.46;25.25;59.50;59.88;64.70;25.66;38.12;43.11;41.06;81.08;33.34;28.39;29.80;31.34;70.35;33.61;31.58;34.19;28.63;72.02;79.44;103.24;35.81;26.74;76.02;38.00;66.76;83.66;33.61;73.37;37.07;30.90;30.49
9,21,1785846953.440725,0.13773349998518825,2.715680666035041,1578,64,ok,,57.83;21.90;35.17;42.33;27.60;26.58;40.54;28.27;24.29;25.81;25.62;41.30;8.10;44.78;43.02;34.83;20.85;44.60;28.12;26.54;26.16;32.96;23.19;27.34;18.35;32.44;22.40;27.04;45.02;67.80;60.10;24.31;59.42;57.21;67.14;27.24;38.63;41.86;42.93;78.24;33.65;28.68;29.69;31.72;71.72;32.65;30.29;35.58;27.71;72.35;79.19;97.19;42.98;26.46;77.14;33.87;68.31;85.03;32.57;73.89;37.31;32.28;29.13
