index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error
0,4,1785781230.354702,0.08619533386081457,3.033374459017068,1578,64,ok,
1,0,1785781230.507065,0.1463383750524372,3.099354000063613,1578,64,ok,
2,117,1785781230.6737092,0.10344658396206796,1.8761982088908553,1578,64,ok,
3,3,1785781230.739826,0.12896604207344353,3.145619000075385,1578,64,ok,
4,1,1785781230.771141,0.14889600011520088,1.9343818749766797,1578,64,ok,
5,0,1785781230.7738822,0.14905037498101592,3.1559849590994418,1578,64,ok,
6,60,1785781230.878419,0.16670741699635983,3.2278913331683725,1578,64,ok,
7,39,1785781230.939989,0.1270425000693649,1.938990541966632,1578,64,ok,
8,0,1785781231.079308,0.16248116712085903,3.286876375088468,1578,64,ok,
9,15,1785781231.124625,0.12434241618029773,1.94725550012663,1578,64,ok,
10,11,1785781231.27022,0.1385616660118103,3.313607000047341,1578,64,ok,
11,8,1785781231.3014941,0.2697583339177072,3.365718875080347,1578,64,ok,
12,1,1785781231.458616,0.1824338329024613,2.1239982079714537,1578,64,ok,
13,12,1785781231.583519,0.11880524992011487,2.074681625002995,1578,64,ok,
14,23,1785781231.6372879,0.12154283281415701,2.102077207993716,1578,64,ok,
15,0,1785781231.711138,0.1294384580105543,3.3447879580780864,1578,64,ok,
16,0,1785781231.822557,0.1708539999090135,3.4075111248530447,1578,64,ok,
17,11,1785781231.843432,0.14745608298107982,2.153609624831006,1578,64,ok,
18,80,1785781231.923609,0.17156320810317993,3.432655000127852,1578,64,ok,
19,0,1785781232.08021,0.13136195810511708,2.1525992080569267,1578,64,ok,
20,40,1785781232.112202,0.17923908308148384,3.450295832939446,1578,64,ok,
21,101,1785781232.270489,0.13266137498430908,2.1532038329169154,1578,64,ok,
22,63,1785781232.3823931,0.16405158303678036,2.165163124911487,1578,64,ok,
23,55,1785781232.561976,0.14346920908428729,2.114884333917871,1578,64,ok,
24,1,1785781232.60137,0.20782474987208843,3.5070215410087258,1578,64,ok,
25,2,1785781232.611764,0.19875404192134738,3.49859116692096,1578,64,ok,
26,113,1785781232.766318,0.16803604178130627,3.4697679169476032,1578,64,ok,
27,18,1785781232.924213,0.18656966695562005,3.4429573339875787,1578,64,ok,
28,4,1785781232.981351,0.22466791700571775,3.464538666885346,1578,64,ok,
29,114,1785781232.9910522,0.17964512505568564,2.163287250092253,1578,64,ok,
30,109,1785781233.012322,0.15945154195651412,2.1421031248755753,1578,64,ok,
31,2,1785781233.108879,0.1336655830964446,2.117055958136916,1578,64,ok,
32,58,1785781233.143142,0.19094770797528327,3.4300107080489397,1578,64,ok,
33,7,1785781233.433177,0.14826637506484985,2.152175416937098,1578,64,ok,
34,123,1785781233.525856,0.13479270809330046,2.141974166035652,1578,64,ok,
35,1,1785781233.547616,0.1667472911067307,2.1470794579945505,1578,64,ok,
36,3,1785781233.650221,,0.06527958298102021,,,error,RuntimeError: HTTP 500: Internal Server Error
37,11,1785781233.693523,0.12747545796446502,2.104770707897842,1578,64,ok,
38,60,1785781233.95314,0.1519812080077827,3.471408582990989,1578,64,ok,
39,8,1785781234.183017,0.1820792919024825,3.4528380420524627,1578,64,ok,
40,103,1785781234.255658,0.1364219170063734,2.3171058339066803,1578,64,ok,
41,2,1785781234.3554041,0.19322620891034603,3.413225958822295,1578,64,ok,
42,122,1785781234.473006,0.19814216694794595,3.4309995837975293,1578,64,ok,
43,0,1785781234.6307771,0.14612787496298552,2.312282541068271,1578,64,ok,
44,25,1785781234.989606,0.16556800017133355,2.3153332921210676,1578,64,ok,
45,79,1785781234.9930801,0.16586591582745314,2.3117659999988973,1578,64,ok,
46,110,1785781235.0356438,0.1958937500603497,3.379206374986097,1578,64,ok,
47,3,1785781235.125507,0.1354982079938054,2.2717474580276757,1578,64,ok,
48,88,1785781235.161292,0.19348799996078014,3.3434560829773545,1578,64,ok,
49,11,1785781235.2484522,0.15172979095950723,2.265610749833286,1578,64,ok,
50,4,1785781235.257675,0.17359187500551343,3.2898293749894947,1578,64,ok,
51,11,1785781235.460156,0.12998870899900794,2.2312479589600116,1578,64,ok,
52,33,1785781235.543144,0.1256192910950631,2.1997869161423296,1578,64,ok,
53,0,1785781235.555521,0.1745132920332253,3.233218374894932,1578,64,ok,
54,3,1785781235.661244,0.1394344160798937,2.243139165919274,1578,64,ok,
55,12,1785781235.697242,0.1553804581053555,2.222814666107297,1578,64,ok,
56,4,1785781235.719465,0.17627904191613197,3.198104874929413,1578,64,ok,
57,0,1785781235.785385,0.14191695884801447,2.216567999916151,1578,64,ok,
58,0,1785781235.799909,0.18881654203869402,2.2471918330993503,1578,64,ok,
59,31,1785781235.824364,0.1634946670383215,2.225445792078972,1578,64,ok,
60,108,1785781236.017812,0.19611733290366828,3.202865457860753,1578,64,ok,
61,15,1785781236.136022,0.14514845912344754,2.156158583937213,1578,64,ok,
62,91,1785781236.140665,0.19697625003755093,2.1834563340526074,1578,64,ok,
63,2,1785781236.284447,0.289972250116989,3.219249499961734,1578,64,ok,
64,1,1785781236.2863412,0.15173312509432435,3.1736771250143647,1578,64,ok,
65,109,1785781236.3252978,0.2505611670203507,2.139583084033802,1578,64,ok,
66,101,1785781236.551223,0.14530716696754098,2.071632292121649,1578,64,ok,
67,18,1785781236.644512,0.15783650008961558,3.13488983316347,1578,64,ok,
68,2,1785781236.686742,0.22411608300171793,3.1342318328097463,1578,64,ok,
69,5,1785781236.729276,0.18239199998788536,3.091613749973476,1578,64,ok,
70,0,1785781236.7781298,0.2740525419358164,3.101687917020172,1578,64,ok,
71,4,1785781236.791161,0.26178012508898973,3.09311387501657,1578,64,ok,
72,29,1785781237.6530828,0.13503800006583333,1.956322125159204,1578,64,ok,
73,15,1785781237.6593559,0.1779906670562923,1.9778192080557346,1578,64,ok,
74,126,1785781237.7139342,0.19041570904664695,3.19147550011985,1578,64,ok,
75,1,1785781237.8467882,0.15397329186089337,1.954107291996479,1578,64,ok,
