index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error
0,17,1785781386.391904,0.17907799989916384,3.484393374994397,1578,64,ok,
1,112,1785781386.451183,0.2555150839034468,3.8322303749155253,1578,64,ok,
2,16,1785781386.4978151,0.20520554180257022,3.786966291954741,1578,64,ok,
3,35,1785781386.513233,0.12741970899514854,2.778422959148884,1578,64,ok,
4,7,1785781386.707674,0.15442258398979902,2.9334101669956,1578,64,ok,
5,18,1785781386.708886,0.15542362513951957,4.001732583157718,1578,64,ok,
6,127,1785781386.785415,0.12165391584858298,2.948538707802072,1578,64,ok,
7,23,1785781387.007264,0.14475379209034145,3.0643915419932455,1578,64,ok,
8,4,1785781387.0155368,0.16106324992142618,4.364220292074606,1578,64,ok,
9,105,1785781387.0951931,0.14532504207454622,3.102593833114952,1578,64,ok,
10,36,1785781387.1872551,0.1841245419345796,4.476751625072211,1578,64,ok,
11,24,1785781387.1915991,0.1834914581850171,4.475671167019755,1578,64,ok,
12,0,1785781387.237251,0.19896854204125702,4.571100000059232,1578,64,ok,
13,13,1785781387.3575768,0.13624916598200798,3.3119586249813437,1578,64,ok,
14,46,1785781387.422733,0.1552245409693569,4.546344375004992,1578,64,ok,
15,13,1785781387.547883,0.13681908301077783,3.453199124895036,1578,64,ok,
16,3,1785781387.564605,0.1954925418831408,4.564439082983881,1578,64,ok,
17,3,1785781387.5927649,0.16841325000859797,4.539374541956931,1578,64,ok,
18,41,1785781387.604534,0.1395641251001507,3.4331282081548125,1578,64,ok,
19,0,1785781387.672837,0.203080833889544,4.553570041898638,1578,64,ok,
20,0,1785781387.918486,0.16793116717599332,3.704971458064392,1578,64,ok,
21,3,1785781388.009848,0.19443108304403722,4.5423224999103695,1578,64,ok,
22,0,1785781388.153733,0.14491608296521008,3.8185846670530736,1578,64,ok,
23,5,1785781388.200961,0.17980479216203094,4.495467250002548,1578,64,ok,
24,10,1785781388.3370361,0.21248129196465015,3.9523531671147794,1578,64,ok,
25,37,1785781388.347125,0.2016837908886373,3.9388202079571784,1578,64,ok,
26,0,1785781388.383806,0.16609641583636403,4.516009957995266,1578,64,ok,
27,0,1785781388.492966,0.18919387483038008,4.4918696659151465,1578,64,ok,
28,3,1785781388.618367,0.15368120884522796,3.884255916811526,1578,64,ok,
29,15,1785781388.672256,0.1740621670614928,3.871462916955352,1578,64,ok,
30,4,1785781388.6811242,0.18192354193888605,4.447422625031322,1578,64,ok,
31,24,1785781388.711585,0.279938125051558,4.471931499894708,1578,64,ok,
32,105,1785781388.7391949,0.18638462503440678,3.8460388749372214,1578,64,ok,
33,0,1785781388.768496,0.22053233394399285,4.414928583893925,1578,64,ok,
34,11,1785781388.926523,0.20036770799197257,3.832335750106722,1578,64,ok,
35,4,1785781388.94896,0.2265465829987079,4.544158749980852,1578,64,ok,
36,24,1785781389.158444,0.2136385841295123,4.526259875157848,1578,64,ok,
37,27,1785781389.362706,0.18503462499938905,3.8803666250314564,1578,64,ok,
38,1,1785781389.373995,0.2681622910313308,3.912254875060171,1578,64,ok,
39,3,1785781389.4194372,0.22482612496241927,3.868738583056256,1578,64,ok,
40,1,1785781389.48899,0.22970100003294647,4.611165625043213,1578,64,ok,
41,27,1785781389.492327,0.24118133401498199,3.8382915838155895,1578,64,ok,
42,0,1785781389.5467362,0.2848743749782443,4.594536375021562,1578,64,ok,
43,24,1785781389.7766771,0.20770333288237453,4.456030791858211,1578,64,ok,
44,24,1785781389.7890182,0.3349595000036061,4.496609749970958,1578,64,ok,
45,71,1785781389.876449,0.24615408293902874,4.402080625062808,1578,64,ok,
46,2,1785781389.890451,0.17481145891360939,3.7743993340991437,1578,64,ok,
47,0,1785781389.97506,0.176509624812752,3.7286559578496963,1578,64,ok,
48,0,1785781390.192053,0.16943716583773494,3.7218042907770723,1578,64,ok,
49,1,1785781390.214528,0.25409058295190334,3.7341271659824997,1578,64,ok,
50,0,1785781390.220685,0.24503670795820653,3.7295738749671727,1578,64,ok,
51,42,1785781390.229217,0.21711579198017716,4.2896467498503625,1578,64,ok,
52,70,1785781390.3063302,0.2750480829272419,4.245608582859859,1578,64,ok,
53,107,1785781390.308161,0.2764299581758678,3.7208959159906954,1578,64,ok,
54,7,1785781390.3167832,0.26848324993625283,3.719508833019063,1578,64,ok,
55,1,1785781390.3826911,0.3254189579747617,4.2641362911090255,1578,64,ok,
56,89,1785781390.6256351,0.17847470892593265,3.686484874924645,1578,64,ok,
57,3,1785781390.679038,0.2139564580284059,4.110694749979302,1578,64,ok,
58,0,1785781390.729484,0.21921945782378316,3.659123124787584,1578,64,ok,
