index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error
0,15,1785763601.573269,0.08806279208511114,1.5116088329814374,1578,64,ok,
1,11,1785763601.593193,0.09313008398748934,1.5131638750899583,1578,64,ok,
2,1,1785763601.845108,0.09048879216425121,1.5716548750642687,1578,64,ok,
3,2,1785763602.037826,0.12401812500320375,1.6679188329726458,1578,64,ok,
4,0,1785763602.0815842,0.108496000058949,1.639826999977231,1578,64,ok,
5,1,1785763602.173749,0.1088098338805139,1.6422883339691907,1578,64,ok,
6,0,1785763602.2539158,0.11927437502890825,1.6464753330219537,1578,64,ok,
7,0,1785763602.394629,0.14911216613836586,1.6418861250858754,1578,64,ok,
8,3,1785763602.602535,0.13417254108935595,1.684856625040993,1578,64,ok,
9,1,1785763602.616758,0.18406300013884902,1.7374171251431108,1578,64,ok,
10,0,1785763602.620697,0.18068458302877843,1.7380444998852909,1578,64,ok,
11,2,1785763602.862792,0.13254966610111296,1.6931512909941375,1578,64,ok,
12,4,1785763602.9388108,0.09269566717557609,1.3696591251064092,1578,64,ok,
13,3,1785763603.131163,0.13200970902107656,1.7360983749385923,1578,64,ok,
14,1,1785763603.1323662,0.13136683381162584,1.7347448749933392,1578,64,ok,
15,1,1785763603.211658,0.12986929202452302,1.7444154999684542,1578,64,ok,
16,1,1785763603.383174,0.1115814158692956,1.7702069580554962,1578,64,ok,
17,1,1785763603.417963,0.1148238331079483,1.780008250148967,1578,64,ok,
18,16,1785763603.807358,0.1429198330733925,1.5854872080963105,1578,64,ok,
19,0,1785763604.1169689,0.170748749980703,2.012472040951252,1578,64,ok,
20,1,1785763604.1213398,0.16693058283999562,2.006852707825601,1578,64,ok,
21,1,1785763604.128153,0.16056462517008185,2.000668208114803,1578,64,ok,
22,0,1785763604.232203,0.12491929205134511,1.947198583977297,1578,64,ok,
23,0,1785763604.606519,0.12209383305162191,1.9648965829983354,1578,64,ok,
24,3,1785763604.670937,0.11781054199673235,1.9490759579930454,1578,64,ok,
25,2,1785763604.703883,0.14308758405968547,1.946952334139496,1578,64,ok,
26,11,1785763604.777705,0.1404844168573618,1.9437512499280274,1578,64,ok,
27,12,1785763604.78212,0.11347045889124274,1.7103100419044495,1578,64,ok,
28,1,1785763604.815624,0.14484391687437892,1.9317639169748873,1578,64,ok,
29,0,1785763604.893429,0.1271622080821544,1.9357723749708384,1578,64,ok,
30,11,1785763604.985347,0.12401833292096853,1.9364618330728263,1578,64,ok,
31,0,1785763605.021798,0.1337271670345217,1.9235685418825597,1578,64,ok,
32,17,1785763605.056872,0.1412611671257764,1.9132140839938074,1578,64,ok,
33,8,1785763605.090278,0.10006237495690584,1.6262740830425173,1578,64,ok,
34,16,1785763605.1735098,0.11514804093167186,1.6144704159814864,1578,64,ok,
35,3,1785763605.220167,0.12611154094338417,1.884991749888286,1578,64,ok,
36,5,1785763605.2233741,0.15637666708789766,1.9065713330637664,1578,64,ok,
37,7,1785763605.466301,0.1390673341229558,1.8543657090049237,1578,64,ok,
38,0,1785763605.575946,0.14981537498533726,1.8392145831603557,1578,64,ok,
39,11,1785763605.714179,0.15954287513159215,1.8029027921147645,1578,64,ok,
40,17,1785763605.742122,0.18217529193498194,1.8055007921066135,1578,64,ok,
41,11,1785763606.3964128,0.1740824580192566,1.7376523329876363,1578,64,ok,
42,15,1785763606.659762,0.12707508285529912,1.6698944999370724,1578,64,ok,
43,0,1785763606.677474,0.15309637505561113,1.6749114580452442,1578,64,ok,
