index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error
0,0,1785766652.7725382,0.09398133307695389,2.7982097920030355,1578,64,ok,
1,0,1785766652.983142,0.21241162507794797,2.870074666105211,1578,64,ok,
2,17,1785766653.214456,0.129893166013062,2.9502293330151588,1578,64,ok,
3,0,1785766653.303963,0.13239091588184237,1.7236668749246746,1578,64,ok,
4,0,1785766653.34467,0.2056207919958979,3.035617624875158,1578,64,ok,
5,0,1785766653.3454552,0.1826509169768542,1.8027291249018162,1578,64,ok,
6,8,1785766653.490583,0.2309577080886811,3.0356105829123408,1578,64,ok,
7,5,1785766653.575731,0.1476467908360064,1.7677513328380883,1578,64,ok,
8,0,1785766653.767924,0.1608090829104185,3.098257916048169,1578,64,ok,
9,2,1785766653.830348,0.1213862078730017,1.7986541669815779,1578,64,ok,
10,1,1785766654.0272782,0.21906441706232727,3.0460118751507252,1578,64,ok,
11,1,1785766654.0706189,0.17398158297874033,1.7896708331536502,1578,64,ok,
12,0,1785766654.287582,0.15175733296200633,3.103647500043735,1578,64,ok,
13,2,1785766654.463061,0.12349399994127452,1.878330416046083,1578,64,ok,
14,3,1785766654.534912,0.13124787504784763,3.0898845829069614,1578,64,ok,
15,0,1785766654.638143,0.13467262499034405,1.888322041137144,1578,64,ok,
16,0,1785766654.7912252,0.14981066714972258,3.125869208946824,1578,64,ok,
17,2,1785766654.819881,0.12544829095713794,1.8356928750872612,1578,64,ok,
18,11,1785766654.928781,0.16811349987983704,3.078513832995668,1578,64,ok,
19,0,1785766655.147396,0.14680945803411305,1.8575351659674197,1578,64,ok,
20,5,1785766655.1886878,0.20176141615957022,1.9205785831436515,1578,64,ok,
21,15,1785766655.4061272,0.11856816615909338,1.8355557080358267,1578,64,ok,
22,8,1785766655.561662,0.2546990839764476,3.0477731667924672,1578,64,ok,
23,7,1785766655.8109372,0.13370187510736287,1.8625182500109076,1578,64,ok,
24,0,1785766655.866111,0.1219214170705527,1.8340454171411693,1578,64,ok,
25,0,1785766655.879314,0.1658626669086516,3.0994455830659717,1578,64,ok,
26,17,1785766656.094296,0.24723650002852082,3.0681946671102196,1578,64,ok,
27,2,1785766656.313358,0.20786687498912215,1.8390478750225157,1578,64,ok,
28,0,1785766656.393047,0.22178641706705093,3.0933674999978393,1578,64,ok,
29,17,1785766656.406582,0.20103945909067988,1.9103800000157207,1578,64,ok,
30,16,1785766656.4362948,0.24903595820069313,3.051323833176866,1578,64,ok,
31,0,1785766656.5718558,0.11959279212169349,1.8704387091565877,1578,64,ok,
32,8,1785766656.61814,0.11306762509047985,1.8266964999493212,1578,64,ok,
33,1,1785766657.022538,0.1556315419729799,2.990330917062238,1578,64,ok,
34,19,1785766657.142242,0.13104075007140636,1.8371698749251664,1578,64,ok,
