index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error
0,7,1785767450.789356,0.09597608400508761,1.6450244998559356,1578,64,ok,
1,7,1785767450.920535,0.10991787491366267,1.6655953750014305,1578,64,ok,
2,10,1785767451.102336,0.10852916608564556,2.6798926659394056,1578,64,ok,
3,1,1785767451.3144698,0.20107191684655845,1.6937671250198036,1578,64,ok,
4,1,1785767451.696265,0.09612116706557572,1.7548478341195732,1578,64,ok,
5,0,1785767451.8769999,0.11802937486208975,1.877940832870081,1578,64,ok,
6,3,1785767452.217985,0.10148545796982944,1.906632374972105,1578,64,ok,
7,4,1785767452.2227452,0.13609179109334946,2.661802750080824,1578,64,ok,
8,0,1785767452.3068008,0.09930108301341534,1.9719365409109741,1578,64,ok,
9,2,1785767452.6906931,0.12665908294729888,2.106318457983434,1578,64,ok,
10,0,1785767452.831676,0.12450279202312231,2.1527911669109017,1578,64,ok,
11,0,1785767453.141154,0.19896399998106062,2.281170249916613,1578,64,ok,
12,0,1785767453.158384,0.18395841610617936,2.2639934581238776,1578,64,ok,
13,7,1785767453.243432,0.14090912509709597,2.207571499980986,1578,64,ok,
14,3,1785767453.282071,0.14987095794640481,2.1990453749895096,1578,64,ok,
15,0,1785767453.387081,0.1076629578601569,2.143840832868591,1578,64,ok,
16,17,1785767453.501369,0.1575074999127537,2.17252237489447,1578,64,ok,
17,0,1785767453.503361,0.154960541985929,2.1692018329631537,1578,64,ok,
18,3,1785767453.536082,0.21627929201349616,2.1621195001062006,1578,64,ok,
19,1,1785767453.580777,0.1718565421178937,2.1218435000628233,1578,64,ok,
20,0,1785767453.9138901,0.13210762501694262,2.1176825831644237,1578,64,ok,
21,0,1785767454.108545,0.17041137488558888,2.1083117919042706,1578,64,ok,
22,1,1785767454.132491,0.1467977911233902,2.0844772499985993,1578,64,ok,
23,0,1785767454.345309,0.132446541916579,2.166197083890438,1578,64,ok,
24,3,1785767454.3663418,0.162411707919091,2.1454172909725457,1578,64,ok,
25,1,1785767454.495769,0.1431402089074254,2.0361960420850664,1578,64,ok,
26,3,1785767454.514178,0.18345570797100663,2.0442639167886227,1578,64,ok,
27,4,1785767454.515131,0.13196937507018447,2.6432785410434008,1578,64,ok,
28,0,1785767454.791857,0.1341995841357857,1.9656939590349793,1578,64,ok,
29,0,1785767454.824387,0.15896729100495577,1.9579855408519506,1578,64,ok,
30,12,1785767454.857347,0.11910708295181394,2.622997040860355,1578,64,ok,
31,6,1785767455.396563,0.13131974986754358,2.7241029168944806,1578,64,ok,
32,0,1785767455.671851,0.17831020802259445,1.8654074999503791,1578,64,ok,
33,3,1785767455.717633,0.13401079108007252,1.8440601250622422,1578,64,ok,
34,1,1785767456.153088,0.12706450000405312,1.83995808288455,1578,64,ok,
35,0,1785767456.257338,0.2659589999821037,1.9830738329328597,1578,64,ok,
36,3,1785767456.4094348,0.19213799992576241,1.9598900829441845,1578,64,ok,
37,1,1785767456.440309,0.16165033401921391,1.9315814170986414,1578,64,ok,
38,0,1785767456.8180192,0.20319549995474517,2.194601458031684,1578,64,ok,
39,0,1785767456.975181,0.1362589579075575,2.2456628328654915,1578,64,ok,
40,0,1785767457.429315,0.10806341585703194,2.7187886249739677,1578,64,ok,
41,11,1785767457.729304,0.21668741712346673,3.3642058330588043,1578,64,ok,
42,8,1785767457.776866,0.17065975000150502,2.7976651249919087,1578,64,ok,
43,0,1785767457.837523,0.21000920818187296,3.7800939159933478,1578,64,ok,
44,18,1785767457.864746,0.2551397499628365,2.853309040889144,1578,64,ok,
45,0,1785767457.8870358,0.21018466702662408,3.7641670419834554,1578,64,ok,
46,2,1785767457.896888,0.2009687500540167,3.7543595421593636,1578,64,ok,
47,4,1785767457.948093,0.17511470895260572,2.770176083780825,1578,64,ok,
48,0,1785767458.072171,0.1693354998715222,3.820849583018571,1578,64,ok,
49,0,1785767458.0728042,0.12087279185652733,3.732132541947067,1578,64,ok,
50,1,1785767458.225155,0.1148666669614613,3.9147069579921663,1578,64,ok,
51,4,1785767458.280873,0.19138058391399682,2.7049233340658247,1578,64,ok,
52,0,1785767458.33156,0.1420537498779595,3.917185958009213,1578,64,ok,
53,0,1785767458.5602539,0.11525183380581439,4.103410666808486,1578,64,ok,
54,0,1785767458.648831,0.13920954195782542,4.100674249930307,1578,64,ok,
55,0,1785767458.700634,0.17250124993734062,4.091315916972235,1578,64,ok,
56,1,1785767458.788678,0.2059361250139773,4.046208458021283,1578,64,ok,
57,0,1785767458.952561,0.265333249932155,4.071177124977112,1578,64,ok,
58,1,1785767458.960789,0.2547177909873426,4.062446957919747,1578,64,ok,
59,6,1785767459.454438,0.22879254212602973,2.8392879590392113,1578,64,ok,
60,0,1785767459.4579682,0.23607004201039672,3.9649368331301957,1578,64,ok,
61,3,1785767459.643866,0.17861075000837445,3.8557142498902977,1578,64,ok,
62,0,1785767459.89279,0.16445391601882875,3.8216370411682874,1578,64,ok,
63,1,1785767459.895581,0.2546762500423938,3.8185824169777334,1578,64,ok,
64,0,1785767460.1026208,0.18980387481860816,3.656196874799207,1578,64,ok,
65,1,1785767460.164701,0.2184017919935286,3.6276386249810457,1578,64,ok,
66,0,1785767460.281097,0.2916462500579655,3.5809607501141727,1578,64,ok,
67,0,1785767460.282426,0.28979362500831485,3.5792750420514494,1578,64,ok,
68,1,1785767460.290184,0.2832572911866009,3.571916875196621,1578,64,ok,
69,2,1785767460.31876,0.30430499999783933,3.614529208978638,1578,64,ok,
70,3,1785767460.733527,0.23048183298669755,3.3819356670137495,1578,64,ok,
71,5,1785767460.763666,0.20071283401921391,3.351761959027499,1578,64,ok,
72,0,1785767460.9525518,0.2647295838687569,3.2953272499144077,1578,64,ok,
73,0,1785767461.306758,0.30842537502758205,3.1864893750753254,1578,64,ok,
74,1,1785767461.687668,0.20176975009962916,3.088914958992973,1578,64,ok,
75,4,1785767461.7449758,0.12157687498256564,2.7191854999400675,1578,64,ok,
76,0,1785767461.8049989,0.1708080000244081,3.002782082883641,1578,64,ok,
77,1,1785767461.9045691,0.23248554207384586,2.974609832977876,1578,64,ok,
78,2,1785767462.104445,0.2370454161427915,2.9502651661168784,1578,64,ok,
79,0,1785767462.120793,0.22428158298134804,2.930294832913205,1578,64,ok,
80,10,1785767462.305974,0.17213100008666515,2.8053862920496613,1578,64,ok,
81,1,1785767462.519166,0.19225920806638896,2.8004843331873417,1578,64,ok,
82,6,1785767462.782376,0.12910025008022785,2.8065103329718113,1578,64,ok,
83,5,1785767462.7876348,0.16516545810736716,2.7550412081182003,1578,64,ok,
84,0,1785767463.177645,0.20611883397214115,2.6990958750247955,1578,64,ok,
85,1,1785767463.1907861,0.18825950007885695,2.6840334578882903,1578,64,ok,
86,16,1785767463.247034,0.14547416591085494,2.840903375064954,1578,64,ok,
87,16,1785767463.374153,0.16054395795799792,2.834938541986048,1578,64,ok,
88,7,1785767463.709037,0.15611333306878805,2.6725573330186307,1578,64,ok,
89,1,1785767463.765239,0.1681690001860261,2.7476012920960784,1578,64,ok,
90,19,1785767464.1092758,0.14487975020892918,2.749582542106509,1578,64,ok,
91,0,1785767464.217077,0.16163158393464983,2.6841739169321954,1578,64,ok,
92,8,1785767464.268071,0.15553324995562434,2.790394291980192,1578,64,ok,
93,0,1785767464.3193731,0.17742287507280707,2.6554919159971178,1578,64,ok,
94,3,1785767464.345547,0.1515133329667151,2.6302275829948485,1578,64,ok,
95,0,1785767464.357387,0.20795116596855223,2.6515585409943014,1578,64,ok,
96,6,1785767464.381823,0.14761599991470575,2.773574999999255,1578,64,ok,
97,1,1785767464.538686,0.22126308316364884,2.592873541172594,1578,64,ok,
98,0,1785767465.3028018,0.13691599993035197,2.6391900840681046,1578,64,ok,
99,0,1785767465.327533,0.16999166714958847,2.6482427921146154,1578,64,ok,
100,4,1785767465.3343801,0.1314824998844415,2.697806374868378,1578,64,ok,
101,2,1785767465.910657,0.1564586660824716,2.7911324580200016,1578,64,ok,
102,2,1785767466.012504,0.14058341598138213,2.840525208041072,1578,64,ok,
103,2,1785767466.083115,0.24982995889149606,2.8885850000660866,1578,64,ok,
104,2,1785767466.11982,0.2160739169921726,2.8858325420878828,1578,64,ok,
105,0,1785767466.241268,0.27172470814548433,2.913641666993499,1578,64,ok,
106,0,1785767466.4760478,0.16296241711825132,2.8258565000724047,1578,64,ok,
107,4,1785767466.558,0.14286770904436707,2.638898167060688,1578,64,ok,
108,0,1785767466.6322792,0.22623779205605388,2.8455616671126336,1578,64,ok,
109,5,1785767466.640393,0.2196803328115493,2.8397976658307016,1578,64,ok,
110,4,1785767466.971914,0.1389271249063313,2.6619350828696042,1578,64,ok,
111,13,1785767466.977258,0.15323587507009506,2.752839917084202,1578,64,ok,
112,1,1785767467.069186,0.15283133299089968,2.7175691660959274,1578,64,ok,
113,0,1785767467.31355,0.2231628750450909,2.766761959064752,1578,64,ok,
114,1,1785767467.333339,0.20293120807036757,2.7435615421272814,1578,64,ok,
115,3,1785767467.50996,0.15143745788373053,2.6954760828521103,1578,64,ok,
116,1,1785767467.909148,0.1264242499601096,2.6347929160110652,1578,64,ok,
117,1,1785767468.042708,0.16081804200075567,2.676769625162706,1578,64,ok,
118,0,1785767468.2507331,0.18090291693806648,2.642644042149186,1578,64,ok,
119,11,1785767468.266338,0.1645840830169618,2.627095874864608,1578,64,ok,
120,2,1785767468.343145,0.2468245830386877,2.712628290988505,1578,64,ok,
121,0,1785767468.365879,0.22444295790046453,2.6898591248318553,1578,64,ok,
122,0,1785767468.6147242,0.16182762500829995,2.574237708002329,1578,64,ok,
123,2,1785767468.66238,0.19257691712118685,2.5630147501360625,1578,64,ok,
124,0,1785767468.7441542,0.21126654208637774,2.5214200420305133,1578,64,ok,
125,0,1785767469.71332,0.15842420794069767,2.3982882499694824,1578,64,ok,
126,11,1785767469.96961,0.16637587500736117,2.38931362493895,1578,64,ok,
127,1,1785767470.468127,0.19488650001585484,2.5119804579298943,1578,64,ok,
128,19,1785767470.5494,0.1745201670564711,2.4676822090987116,1578,64,ok,
129,4,1785767470.63994,0.09566816710866988,2.7574695420917124,1578,64,ok,
130,0,1785767470.815568,0.13275350001640618,2.4007550419773906,1578,64,ok,
131,5,1785767470.903718,0.1521302501205355,2.3783959159627557,1578,64,ok,
