index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,4,1785848756.341461,0.18239400000311434,2.199480458162725,1578,64,ok,,29.48;24.07;26.21;36.19;32.85;22.21;27.72;35.06;24.20;33.84;26.30;29.55;30.83;26.84;30.82;26.99;29.82;27.21;42.41;26.70;29.01;23.55;29.05;33.56;38.82;28.66;26.32;28.95;57.17;0.00;27.09;26.58;45.78;32.61;20.64;44.62;32.54;25.15;31.75;27.58;33.54;46.30;27.90;33.63;28.69;28.69;38.86;24.06;29.68;31.93;26.12;42.84;36.65;69.06;34.77;52.90;35.89;29.82;34.02;35.30;30.35;31.08;35.26
1,0,1785848756.440075,0.096518374979496,1.92947379196994,1578,64,ok,,18.03;22.12;22.62;16.83;55.53;10.89;37.06;19.42;34.17;19.02;34.12;18.00;22.13;26.26;27.50;35.26;19.98;23.46;19.55;38.97;19.17;33.01;16.11;35.38;32.07;15.50;24.30;33.07;26.95;24.98;97.95;0.01;2.53;22.61;38.21;60.43;11.87;43.46;24.33;24.98;27.44;45.90;26.75;24.27;23.23;37.07;22.53;12.19;42.01;57.33;28.67;49.96;26.70;35.18;22.17;17.22;24.22;41.26;56.79;29.63;24.27;26.29;22.93
2,117,1785848756.548204,0.12368370895273983,2.0074073339346796,1578,64,ok,,11.28;36.21;19.80;33.95;18.86;35.53;16.52;22.82;25.84;28.01;37.23;18.23;23.57;19.26;38.71;19.67;32.01;17.32;35.33;31.31;18.95;21.91;32.23;29.03;24.69;87.99;0.00;8.11;24.92;38.14;60.00;13.29;42.69;25.40;25.33;26.77;45.63;26.17;24.75;22.81;33.88;26.40;18.91;36.74;57.87;26.70;50.49;25.90;34.44;24.53;14.68;27.22;40.75;61.72;24.73;23.41;25.28;23.41;29.13;18.50;53.54;17.57;67.33
3,3,1785848756.5898108,0.09393295808695257,2.0176759159658104,1578,64,ok,,34.54;20.29;33.69;19.31;35.11;17.20;22.11;26.50;27.19;33.94;21.76;24.55;18.53;38.87;19.15;32.65;16.44;35.37;32.00;15.70;24.08;33.15;26.22;27.01;88.91;0.03;9.42;19.19;41.10;61.33;12.19;43.05;24.77;24.95;27.21;44.91;28.10;24.23;23.29;35.26;26.22;11.08;40.88;57.81;28.29;48.87;25.63;37.19;23.41;13.18;27.25;40.65;57.19;30.08;21.63;28.15;21.64;29.20;17.85;57.73;15.49;64.46;56.09
4,1,1785848756.608928,0.11103133298456669,2.0643071248196065,1578,64,ok,,18.83;34.13;19.16;35.28;16.89;22.99;24.99;28.28;37.12;18.14;22.83;20.01;39.68;19.46;32.34;16.54;36.39;29.75;16.84;23.70;33.10;28.34;23.75;89.70;0.00;9.75;23.13;38.14;60.96;11.57;43.30;24.80;25.43;27.17;45.66;27.65;24.04;22.32;38.10;22.11;14.54;40.50;55.91;29.20;50.33;24.77;36.87;21.91;16.21;24.67;41.51;56.41;31.90;21.99;27.72;23.73;27.99;16.83;56.43;15.69;63.99;61.96;59.30
5,0,1785848756.609847,0.13043858297169209,2.0946903750300407,1578,64,ok,,32.44;19.05;35.86;16.52;22.47;25.75;31.63;34.02;17.94;24.24;18.50;39.07;19.69;32.01;16.76;35.70;30.56;16.86;23.83;33.06;27.90;23.73;97.72;0.01;2.73;20.50;39.58;61.48;11.67;43.10;26.08;25.71;25.70;45.74;26.75;24.80;23.67;36.52;23.82;18.71;34.04;60.27;26.90;51.26;22.59;36.15;22.63;16.40;25.01;41.54;61.60;25.00;21.24;28.81;24.23;25.62;18.21;57.58;15.77;64.62;58.32;67.20;26.46
6,60,1785848756.678189,0.09587920899502933,2.0582422090228647,1578,64,ok,,17.81;35.85;16.81;22.19;25.85;28.68;36.54;18.27;23.55;19.04;38.94;19.68;32.00;16.62;35.57;32.13;18.84;21.86;32.19;29.29;25.47;86.71;0.01;9.04;23.44;38.19;60.54;13.22;42.38;25.61;25.17;27.12;45.56;26.83;24.53;22.25;34.05;25.84;19.27;34.98;60.89;25.66;50.33;24.28;37.37;23.84;15.42;27.94;41.56;57.87;27.07;21.10;27.26;23.36;29.56;14.34;57.96;18.13;63.82;59.43;67.92;23.95;29.68
7,39,1785848756.71843,0.1100758749525994,2.0907100830227137,1578,64,ok,,16.13;21.53;26.71;31.30;32.42;19.28;23.54;19.77;39.19;19.28;32.12;16.63;36.51;31.00;18.76;21.91;32.09;28.89;22.62;93.47;0.03;7.01;22.90;44.36;53.47;13.23;43.30;24.33;25.98;27.09;46.43;26.00;24.41;23.60;33.73;26.45;18.33;35.51;59.48;26.52;51.57;24.44;34.75;23.35;16.07;28.49;40.64;59.85;24.63;22.31;27.23;23.71;28.78;19.29;54.07;16.69;64.88;58.51;67.62;25.60;28.05;22.95;51.38
8,0,1785848756.8085551,0.11373350000940263,2.0992542498279363,1578,64,ok,,35.84;18.10;23.88;18.94;39.03;17.69;33.80;16.92;35.33;31.95;18.79;21.82;32.13;26.99;25.17;95.63;0.01;2.98;24.17;43.80;54.09;12.94;43.55;24.11;26.87;26.21;45.59;26.92;24.39;23.78;33.51;26.48;18.20;35.58;58.65;25.31;53.10;24.64;35.43;22.95;15.37;25.44;41.80;54.68;29.41;26.32;26.40;23.00;29.55;16.89;56.47;15.15;63.10;62.33;58.69;31.12;26.13;24.73;50.96;24.26;27.70;32.85;17.17
9,15,1785848756.840758,0.11753799999132752,2.0916225421242416,1578,64,ok,,18.15;23.85;18.81;39.06;19.38;32.40;16.98;35.87;30.31;16.64;24.33;32.23;28.26;22.95;98.18;0.01;2.01;23.68;37.69;60.72;12.61;42.96;25.45;25.90;25.31;46.49;26.89;23.75;24.45;36.08;24.13;18.52;33.77;60.45;26.89;51.34;22.86;35.50;22.76;16.67;25.09;42.31;61.98;23.25;25.46;23.99;23.44;27.05;21.58;54.40;16.38;64.39;56.61;63.98;30.89;26.11;25.93;50.19;32.78;20.88;28.57;18.18;25.48
10,11,1785848756.933614,0.12496141693554819,2.1493344998452812,1578,64,ok,,18.58;32.71;17.17;36.20;30.98;14.23;24.49;33.64;25.82;26.64;89.30;0.00;10.68;22.60;44.28;54.30;11.63;44.35;23.70;26.19;27.37;46.64;25.84;23.46;23.13;37.58;22.74;18.42;36.94;59.76;25.04;50.24;26.26;34.04;23.58;16.99;27.88;40.83;60.45;24.08;22.98;24.11;24.19;26.45;23.91;50.78;19.86;64.83;54.58;67.12;29.85;29.07;22.87;49.88;31.57;20.54;30.84;18.89;28.22;25.91;38.02;49.78;30.28
11,8,1785848756.958922,0.1289993750397116,2.2251194999553263,1578,64,ok,,25.07;29.07;23.47;29.13;33.43;38.99;28.58;27.97;34.98;49.88;0.00;26.64;26.46;46.03;32.63;20.53;44.95;32.45;25.85;31.50;27.21;33.64;45.97;28.19;33.11;30.67;27.40;38.80;24.40;29.26;30.10;28.84;42.08;36.47;70.05;33.71;52.89;36.05;29.16;34.10;35.12;30.94;31.57;35.08;26.98;37.17;31.96;34.17;30.97;34.00;31.38;36.63;24.86;36.27;34.22;27.41;45.25;20.39;32.33;39.50;25.24;38.02;56.63
