index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,4,1786017241.5295913,0.12570628803223372,22.78928882512264,1578,64,ok,,18.76;32.16;21.77;24.85;24.16;444.98;80.38;42.61;25.88;26.07;461.73;465.09;572.96;449.02;588.75;591.95;605.65;622.65;626.64;624.31;637.49;651.40;411.67;174.63;184.90;628.15;634.90;299.54;589.40;661.36;218.24;232.20;753.18;738.85;757.60;761.52;781.62;795.30;534.57;314.95;340.33;791.19;875.83;883.77;675.61;103.75;109.61;105.48;116.42;115.17;105.61;109.09;105.32;111.61;112.88;104.88;109.79;105.79;120.63;105.82;109.48;104.33;111.53
1,0,1786017241.6285403,0.05395693308673799,2.9029220640659332,1578,64,ok,,20.13;22.79;22.12;21.52;22.73;21.78;33.89;39.16;14.84;25.10;19.66;28.37;23.28;23.24;23.01;22.66;31.81;22.97;23.32;22.69;24.46;37.43;24.14;24.42;25.38;23.68;23.53;22.82;35.78;25.44;26.15;35.57;27.21;40.77;25.95;26.42;25.96;23.61;24.74;42.03;25.32;24.94;25.42;422.54;191.16;470.79;78.13;34.69;29.50;24.87;56.84;31.33;27.87;59.23;31.58;27.19;31.49;27.55;54.22;31.91;30.41;29.19;28.96
2,117,1786017241.7384965,0.4829861910548061,23.230360148008913,1578,64,ok,,81.06;43.10;25.88;26.03;460.93;466.36;572.84;447.58;586.87;593.12;605.57;623.65;622.48;624.32;641.08;648.17;408.55;173.00;204.66;605.03;637.69;316.93;583.55;662.99;216.78;232.53;753.53;739.18;753.85;764.61;782.81;795.74;535.76;308.97;338.46;791.39;865.28;902.04;667.05;99.30;108.86;111.23;109.74;115.90;110.88;107.78;100.06;111.65;110.85;114.60;111.28;97.45;121.64;109.72;110.08;100.04;109.68;123.24;117.98;79.71;106.23;117.02;111.57
3,3,1786017241.7803347,0.06646404089406133,3.519092938862741,1578,64,ok,,39.36;14.94;25.16;19.67;28.19;24.56;22.84;22.12;22.74;33.65;22.45;23.23;22.46;24.73;36.21;25.27;24.48;25.00;23.96;22.46;23.69;35.83;25.41;26.65;35.50;25.21;43.35;25.58;23.85;26.05;26.44;22.51;40.53;25.51;28.23;23.46;424.69;186.50;472.15;82.40;33.67;28.25;27.04;57.11;31.10;27.20;58.61;32.42;27.62;30.63;27.45;56.47;30.69;30.04;27.33;33.64;27.35;30.78;445.98;104.14;85.71;35.68;34.94
4,1,1786017241.8001404,0.5014368349220604,23.51615702197887,1578,64,ok,,43.08;25.71;26.05;460.47;466.45;573.05;444.77;592.01;592.61;605.63;617.69;627.08;627.02;635.45;649.06;414.31;172.18;185.77;628.02;632.44;317.96;578.32;658.26;221.74;232.18;752.27;739.14;755.17;763.72;791.45;785.84;534.53;309.07;337.03;794.79;872.17;890.68;671.82;102.81;107.95;108.59;116.93;111.34;106.91;108.15;103.92;116.06;107.18;108.89;110.27;110.85;120.42;100.01;107.50;112.42;103.71;116.32;123.80;95.21;99.12;102.22;112.36;362.06
5,0,1786017241.8012738,0.08560683787800372,3.5273653629701585,1578,64,ok,,14.96;24.89;19.65;28.44;23.38;23.53;22.66;22.55;32.07;23.06;23.05;22.68;24.74;37.26;24.22;24.49;25.04;23.95;23.47;22.87;35.82;25.41;26.26;35.54;26.91;40.91;26.25;25.96;25.97;23.71;24.73;40.18;25.36;27.14;25.17;422.34;188.57;470.58;82.56;34.90;25.90;27.83;56.21;32.39;27.45;58.42;33.40;26.41;30.86;26.85;57.02;30.64;30.32;25.33;35.17;25.85;31.16;447.34;104.16;85.90;35.36;35.24;28.08
6,60,1786017241.8700764,0.4319388880394399,23.4467320071999,1578,64,ok,,42.81;25.84;26.00;460.48;466.39;572.99;445.29;591.59;592.51;605.64;616.65;631.79;625.02;637.56;649.29;408.92;178.45;175.89;631.14;637.12;296.02;602.09;651.64;222.90;238.01;755.21;737.77;745.19;781.34;773.36;788.28;534.26;309.27;346.58;791.40;873.16;881.24;679.93;101.72;110.54;107.17;116.82;113.17;106.56;107.81;104.07;108.35;114.49;110.15;99.93;109.37;123.91;108.58;109.74;101.62;113.01;107.03;123.70;93.69;100.59;113.12;97.80;370.31
7,39,1786017241.9102657,0.06480578007176518,4.129427595995367,1578,64,ok,,23.33;23.50;22.74;22.49;33.27;22.26;23.26;22.41;24.75;37.48;24.24;24.37;25.00;24.04;23.30;22.83;35.80;25.43;26.62;35.73;25.20;43.30;25.47;24.25;25.95;26.33;23.40;40.53;25.12;27.66;25.10;423.05;188.17;470.49;80.45;34.74;29.42;24.77;57.11;31.01;27.69;57.15;34.39;26.68;31.14;25.39;57.46;31.19;30.40;29.79;29.35;31.59;28.51;443.68;104.26;83.85;37.05;35.40;31.64;32.84;77.60;81.65;517.11
8,0,1786017241.9999244,0.30280801095068455,23.296227555023506,1578,64,ok,,43.07;25.88;26.13;460.47;466.71;571.06;444.64;592.00;592.90;605.39;616.41;628.47;624.35;635.80;651.50;409.24;175.64;186.98;625.46;633.55;319.70;584.79;662.56;216.42;233.73;755.18;738.24;759.03;769.18;772.55;796.11;540.55;291.49;337.29;793.46;871.88;893.70;670.11;103.56;107.63;108.16;116.69;110.89;105.58;108.97;105.43;109.86;114.20;106.48;109.69;105.41;121.67;104.19;107.63;108.18;111.39;110.22;128.41;88.42;104.44;104.85;106.64;360.97
9,15,1786017242.029856,0.0694822131190449,4.211323906201869,1578,64,ok,,22.94;23.21;22.47;24.77;37.24;24.24;24.49;25.01;23.96;23.50;23.38;35.84;25.43;25.69;35.52;26.90;41.41;25.83;25.89;25.99;24.27;25.21;40.70;25.41;25.62;25.07;422.63;190.69;470.77;79.61;33.21;30.64;24.07;56.56;31.33;27.82;59.22;31.60;28.53;30.13;27.57;54.75;31.38;30.39;30.89;27.60;33.30;27.17;445.71;101.71;86.73;34.56;35.17;31.19;33.65;77.94;83.92;513.81;81.70;33.71;31.62;28.70;30.74
